Confidence scores:
Mask 0: 0.9642618894577026
Mask 1: 0.9589046239852905
Mask 2: 0.9556847810745239
Mask 3: 0.947425127029419
Mask 4: 0.9466552138328552
Mask 5: 0.9464067816734314
Mask 6: 0.9441706538200378
Mask 7: 0.9439582824707031
Mask 8: 0.9425432085990906
Mask 9: 0.9417951703071594
Mask 10: 0.9413964748382568
Mask 11: 0.9408655762672424
Mask 12: 0.9384104013442993
Mask 13: 0.9361423850059509
Mask 14: 0.9358212351799011
Mask 15: 0.9356369972229004
Mask 16: 0.9353124499320984
Mask 17: 0.9328354597091675
Mask 18: 0.9328253269195557
Mask 19: 0.9321223497390747
Mask 20: 0.9321122765541077
Mask 21: 0.9318361282348633
Mask 22: 0.9311147332191467
Mask 23: 0.9309659004211426
Mask 24: 0.9299271702766418
Mask 25: 0.9299148917198181
Mask 26: 0.9297503232955933
Mask 27: 0.9297370314598083
Mask 28: 0.9295647740364075
Mask 29: 0.9286026358604431
Mask 30: 0.926433801651001
Mask 31: 0.9242657423019409
Mask 32: 0.9240822792053223
Mask 33: 0.9212954640388489
Mask 34: 0.9210813045501709
Mask 35: 0.918420135974884
Mask 36: 0.91837078332901
Mask 37: 0.9170331954956055
Mask 38: 0.9163610339164734
Mask 39: 0.9162319302558899
Mask 40: 0.9151232242584229
Mask 41: 0.9143853783607483
Mask 42: 0.9142956733703613
Mask 43: 0.9125322699546814
Mask 44: 0.9120652675628662
Mask 45: 0.9097034931182861
Mask 46: 0.9080572128295898
Mask 47: 0.9075747132301331
Mask 48: 0.9056413173675537
Mask 49: 0.9030913710594177
Mask 50: 0.9016726016998291
Mask 51: 0.9013627171516418
Mask 52: 0.900596022605896
Mask 53: 0.8986547589302063
Mask 54: 0.8985074758529663
Mask 55: 0.8950071930885315
Mask 56: 0.8948096036911011
Mask 57: 0.8947504162788391
Mask 58: 0.8939706087112427
Mask 59: 0.8934460878372192
Mask 60: 0.8923832774162292
Mask 61: 0.8916154503822327
Mask 62: 0.8908324241638184
Mask 63: 0.8907376527786255
Mask 64: 0.8876566290855408
Mask 65: 0.8850981593132019
Mask 66: 0.8835076093673706
Mask 67: 0.8834202289581299
Mask 68: 0.8823719024658203
Mask 69: 0.8816529512405396
Mask 70: 0.8813664317131042
Mask 71: 0.880451500415802
Mask 72: 0.8788554668426514
Mask 73: 0.878677248954773
Mask 74: 0.878278374671936
Mask 75: 0.8775245547294617
Mask 76: 0.8763916492462158
Mask 77: 0.8749175667762756
Mask 78: 0.874620795249939
Mask 79: 0.8710663914680481
Mask 80: 0.8699806928634644
Mask 81: 0.8442628979682922
Mask 82: 0.7938098907470703
Mask 83: 0.7652544975280762
Mask 84: 0.7578730583190918
Mask 85: 0.7574219703674316
Mask 86: 0.7398180961608887
Mask 87: 0.7319387197494507
Mask 88: 0.7160843014717102
Mask 89: 0.713653028011322
Mask 90: 0.7111861109733582
Mask 91: 0.7080183029174805
Mask 92: 0.7068066596984863
Mask 93: 0.7059543132781982
Mask 94: 0.7054730653762817
Mask 95: 0.703547477722168
Mask 96: 0.702185332775116
Mask 97: 0.7008842825889587
Mask 98: 0.6987782716751099
Mask 99: 0.6961818933486938
Mask 100: 0.6880543231964111
Mask 101: 0.684866189956665
Mask 102: 0.6811713576316833
Mask 103: 0.6614660024642944
Mask 104: 0.6469306349754333
Mask 105: 0.6434343457221985
Mask 106: 0.6205681562423706
Mask 107: 0.6171282529830933
Mask 108: 0.6152538061141968
Mask 109: 0.6116868257522583
Mask 110: 0.6107349991798401
Mask 111: 0.6032317280769348
Mask 112: 0.597241997718811
Mask 113: 0.5933534502983093
Mask 114: 0.5913888812065125
Mask 115: 0.5759455561637878
Mask 116: 0.5749616622924805
Mask 117: 0.5509990453720093
Mask 118: 0.5323945879936218
Mask 119: 0.5313240885734558
Mask 120: 0.517298698425293
Mask 121: 0.5133634805679321
Mask 122: 0.4816921353340149
Mask 123: 0.4807736575603485
Mask 124: 0.4630015194416046
Mask 125: 0.4582778811454773
Mask 126: 0.4521215558052063
Mask 127: 0.4382055699825287
Mask 128: 0.4231763482093811
Mask 129: 0.41620028018951416
Mask 130: 0.4122377932071686
Mask 131: 0.4015536308288574
