Boxes data:
Box 0: tensor([3.6798e+02, 9.0827e+02, 7.6913e+02, 9.7857e+02, 9.6426e-01, 0.0000e+00], device='cuda:0')
Box 1: tensor([ 54.1153, 632.4433, 155.8204, 730.8694,   0.9589,   0.0000], device='cuda:0')
Box 2: tensor([2.0756e+02, 9.5916e+02, 9.3626e+02, 1.2790e+03, 9.5568e-01, 0.0000e+00], device='cuda:0')
Box 3: tensor([0.0000e+00, 9.5285e+02, 1.0600e+02, 1.0018e+03, 9.4743e-01, 0.0000e+00], device='cuda:0')
Box 4: tensor([2.6459e+02, 9.3653e+02, 3.6902e+02, 9.8558e+02, 9.4666e-01, 0.0000e+00], device='cuda:0')
Box 5: tensor([1.7956e+02, 9.4329e+02, 2.6869e+02, 9.9057e+02, 9.4641e-01, 0.0000e+00], device='cuda:0')
Box 6: tensor([7.7763e+02, 9.0156e+02, 8.6650e+02, 9.4917e+02, 9.4417e-01, 0.0000e+00], device='cuda:0')
Box 7: tensor([8.7191e+02, 8.9605e+02, 9.4457e+02, 9.4198e+02, 9.4396e-01, 0.0000e+00], device='cuda:0')
Box 8: tensor([ 84.3556, 862.4014, 221.0896, 905.0007,   0.9425,   0.0000], device='cuda:0')
Box 9: tensor([9.8651e+02, 8.4215e+02, 1.1463e+03, 8.8741e+02, 9.4180e-01, 0.0000e+00], device='cuda:0')
Box 10: tensor([1.0209e+03, 8.8624e+02, 1.0961e+03, 9.3066e+02, 9.4140e-01, 0.0000e+00], device='cuda:0')
Box 11: tensor([4.8466e+01, 9.0160e+02, 2.3433e+02, 9.5026e+02, 9.4087e-01, 0.0000e+00], device='cuda:0')
Box 12: tensor([9.4968e+01, 9.4784e+02, 1.8782e+02, 9.9612e+02, 9.3841e-01, 0.0000e+00], device='cuda:0')
Box 13: tensor([115.3130, 826.8688, 227.7710, 863.7949,   0.9361,   0.0000], device='cuda:0')
Box 14: tensor([623.6882, 871.3459, 690.7271, 913.7004,   0.9358,   0.0000], device='cuda:0')
Box 15: tensor([845.4819, 855.8792, 912.8199, 897.0569,   0.9356,   0.0000], device='cuda:0')
Box 16: tensor([9.1641e+02, 8.5210e+02, 9.8518e+02, 8.9227e+02, 9.3531e-01, 0.0000e+00], device='cuda:0')
Box 17: tensor([3.0875e+02, 8.9175e+02, 3.8747e+02, 9.3430e+02, 9.3284e-01, 0.0000e+00], device='cuda:0')
Box 18: tensor([772.9272, 861.0828, 839.1648, 902.1617,   0.9328,   0.0000], device='cuda:0')
Box 19: tensor([2.3001e+02, 8.9578e+02, 3.1113e+02, 9.3938e+02, 9.3212e-01, 0.0000e+00], device='cuda:0')
Box 20: tensor([367.5290, 849.1400, 441.5662, 887.9070,   0.9321,   0.0000], device='cuda:0')
Box 21: tensor([292.3061, 853.0345, 367.8599, 892.9087,   0.9318,   0.0000], device='cuda:0')
Box 22: tensor([735.5374, 825.7357, 797.7085, 862.6036,   0.9311,   0.0000], device='cuda:0')
Box 23: tensor([443.7350, 843.8316, 513.0778, 882.6182,   0.9310,   0.0000], device='cuda:0')
Box 24: tensor([467.7863, 882.0124, 539.6246, 923.6187,   0.9299,   0.0000], device='cuda:0')
Box 25: tensor([546.0140, 876.6600, 614.9544, 918.4589,   0.9299,   0.0000], device='cuda:0')
Box 26: tensor([389.5301, 887.1356, 464.0239, 929.1958,   0.9298,   0.0000], device='cuda:0')
Box 27: tensor([699.2318, 866.9130, 765.0051, 907.9350,   0.9297,   0.0000], device='cuda:0')
Box 28: tensor([8.7208e+02, 8.1693e+02, 9.3574e+02, 8.5332e+02, 9.2956e-01, 0.0000e+00], device='cuda:0')
Box 29: tensor([804.5066, 820.5045, 867.0718, 858.2930,   0.9286,   0.0000], device='cuda:0')
Box 30: tensor([664.1315, 829.9776, 726.8644, 867.8666,   0.9264,   0.0000], device='cuda:0')
Box 31: tensor([591.7647, 835.1485, 655.9316, 873.3942,   0.9243,   0.0000], device='cuda:0')
Box 32: tensor([1.0060e+03, 8.0645e+02, 1.1244e+03, 8.4497e+02, 9.2408e-01, 0.0000e+00], device='cuda:0')
Box 33: tensor([216.8255, 858.9787, 294.7865, 897.3694,   0.9213,   0.0000], device='cuda:0')
Box 34: tensor([517.9040, 839.9498, 584.6329, 877.4689,   0.9211,   0.0000], device='cuda:0')
Box 35: tensor([9.3934e+02, 8.1308e+02, 1.0044e+03, 8.4912e+02, 9.1842e-01, 0.0000e+00], device='cuda:0')
Box 36: tensor([580.1265, 801.3970, 642.0805, 835.4854,   0.9184,   0.0000], device='cuda:0')
Box 37: tensor([295.3968, 819.1912, 366.2754, 853.9432,   0.9170,   0.0000], device='cuda:0')
Box 38: tensor([367.5946, 813.6816, 435.6073, 849.2315,   0.9164,   0.0000], device='cuda:0')
Box 39: tensor([9.5164e+02, 9.1019e+02, 1.0204e+03, 9.3695e+02, 9.1623e-01, 0.0000e+00], device='cuda:0')
Box 40: tensor([224.2256, 822.8135, 296.3630, 857.9827,   0.9151,   0.0000], device='cuda:0')
Box 41: tensor([649.4436, 796.8503, 709.1221, 830.7496,   0.9144,   0.0000], device='cuda:0')
Box 42: tensor([169.9263, 762.6746, 269.7430, 793.4505,   0.9143,   0.0000], device='cuda:0')
Box 43: tensor([0.0000e+00, 4.9664e+01, 1.4063e+03, 1.2790e+03, 9.1253e-01, 0.0000e+00], device='cuda:0')
Box 44: tensor([848.0121, 784.3115, 908.3328, 817.4505,   0.9121,   0.0000], device='cuda:0')
Box 45: tensor([783.1987, 788.4334, 842.6098, 821.6415,   0.9097,   0.0000], device='cuda:0')
Box 46: tensor([1.1023e+03, 8.9970e+02, 1.1729e+03, 9.2563e+02, 9.0806e-01, 0.0000e+00], device='cuda:0')
Box 47: tensor([717.0486, 792.5369, 776.1368, 826.4657,   0.9076,   0.0000], device='cuda:0')
Box 48: tensor([439.6286, 810.4572, 505.1129, 844.0031,   0.9056,   0.0000], device='cuda:0')
Box 49: tensor([509.9935, 805.4836, 573.5872, 839.5740,   0.9031,   0.0000], device='cuda:0')
Box 50: tensor([1.4854e+03, 3.4393e+02, 1.5574e+03, 4.8145e+02, 9.0167e-01, 0.0000e+00], device='cuda:0')
Box 51: tensor([349.9296, 783.7144, 415.2391, 815.4924,   0.9014,   0.0000], device='cuda:0')
Box 52: tensor([9.7542e+02, 7.7793e+02, 1.0384e+03, 8.1010e+02, 9.0060e-01, 0.0000e+00], device='cuda:0')
Box 53: tensor([9.1270e+02, 7.8130e+02, 9.7355e+02, 8.1394e+02, 8.9865e-01, 0.0000e+00], device='cuda:0')
Box 54: tensor([9.9384e+02, 7.4600e+02, 1.0848e+03, 7.7580e+02, 8.9851e-01, 0.0000e+00], device='cuda:0')
Box 55: tensor([280.9900, 787.2376, 349.4564, 819.6110,   0.8950,   0.0000], device='cuda:0')
Box 56: tensor([685.1421, 763.9788, 741.1298, 794.1971,   0.8948,   0.0000], device='cuda:0')
Box 57: tensor([144.0585, 794.5035, 216.7734, 827.1943,   0.8948,   0.0000], device='cuda:0')
Box 58: tensor([212.9639, 791.9135, 282.2821, 823.1280,   0.8940,   0.0000], device='cuda:0')
Box 59: tensor([418.6161, 779.5861, 481.5980, 811.0071,   0.8934,   0.0000], device='cuda:0')
Box 60: tensor([553.1653, 771.8676, 611.8529, 802.0224,   0.8924,   0.0000], device='cuda:0')
Box 61: tensor([486.4538, 775.8547, 546.5304, 807.0244,   0.8916,   0.0000], device='cuda:0')
Box 62: tensor([619.6505, 767.7480, 677.0717, 798.2402,   0.8908,   0.0000], device='cuda:0')
Box 63: tensor([749.0576, 759.6528, 804.2960, 789.4767,   0.8907,   0.0000], device='cuda:0')
Box 64: tensor([811.7596, 756.3656, 867.3636, 785.9171,   0.8877,   0.0000], device='cuda:0')
Box 65: tensor([268.2604, 759.2137, 333.3536, 788.0324,   0.8851,   0.0000], device='cuda:0')
Box 66: tensor([8.3600e+02, 7.2697e+02, 8.9013e+02, 7.5484e+02, 8.8351e-01, 0.0000e+00], device='cuda:0')
Box 67: tensor([592.5667, 741.0169, 647.5427, 769.5069,   0.8834,   0.0000], device='cuda:0')
Box 68: tensor([1.0389e+03, 7.7430e+02, 1.1029e+03, 8.0626e+02, 8.8237e-01, 0.0000e+00], device='cuda:0')
Box 69: tensor([716.7015, 733.4882, 770.2314, 761.7444,   0.8817,   0.0000], device='cuda:0')
Box 70: tensor([464.4022, 748.5724, 523.2579, 777.1229,   0.8814,   0.0000], device='cuda:0')
Box 71: tensor([399.6006, 752.3513, 460.0997, 780.9725,   0.8805,   0.0000], device='cuda:0')
Box 72: tensor([528.3550, 744.6627, 585.4949, 773.4952,   0.8789,   0.0000], device='cuda:0')
Box 73: tensor([655.5671, 737.5479, 709.0768, 765.6609,   0.8787,   0.0000], device='cuda:0')
Box 74: tensor([8.7242e+02, 7.5314e+02, 9.2940e+02, 7.8240e+02, 8.7828e-01, 0.0000e+00], device='cuda:0')
Box 75: tensor([333.8791, 755.9407, 396.9170, 784.7297,   0.8775,   0.0000], device='cuda:0')
Box 76: tensor([9.3331e+02, 7.4954e+02, 9.9147e+02, 7.7936e+02, 8.7639e-01, 0.0000e+00], device='cuda:0')
Box 77: tensor([777.4720, 730.7275, 830.1920, 757.7474,   0.8749,   0.0000], device='cuda:0')
Box 78: tensor([9.5156e+02, 7.2071e+02, 1.0088e+03, 7.4799e+02, 8.7462e-01, 0.0000e+00], device='cuda:0')
Box 79: tensor([1.5660e+03, 3.7624e+02, 1.7060e+03, 5.1524e+02, 8.7107e-01, 0.0000e+00], device='cuda:0')
Box 80: tensor([8.9472e+02, 7.2376e+02, 9.4929e+02, 7.5108e+02, 8.6998e-01, 0.0000e+00], device='cuda:0')
Box 81: tensor([1.0098e+03, 7.1827e+02, 1.0698e+03, 7.4516e+02, 8.4426e-01, 0.0000e+00], device='cuda:0')
Box 82: tensor([1.1697e+03, 3.3080e+02, 1.5026e+03, 8.9423e+02, 7.9381e-01, 0.0000e+00], device='cuda:0')
Box 83: tensor([  0.0000,   0.0000, 139.9305, 478.2177,   0.7653,   0.0000], device='cuda:0')
Box 84: tensor([1.3703e+02, 7.6532e+01, 1.0696e+03, 6.7134e+02, 7.5787e-01, 0.0000e+00], device='cuda:0')
Box 85: tensor([1.5131e+03, 5.5895e+02, 1.5840e+03, 5.9773e+02, 7.5742e-01, 0.0000e+00], device='cuda:0')
Box 86: tensor([534.8441, 642.2791, 564.0793, 670.6683,   0.7398,   0.0000], device='cuda:0')
Box 87: tensor([425.6257, 647.2594, 456.7450, 676.7066,   0.7319,   0.0000], device='cuda:0')
Box 88: tensor([2.3897e+02, 0.0000e+00, 1.3786e+03, 1.3511e+02, 7.1608e-01, 0.0000e+00], device='cuda:0')
Box 89: tensor([132.8050,   0.0000, 265.8297,  74.5788,   0.7137,   0.0000], device='cuda:0')
Box 90: tensor([462.5439, 646.1591, 492.0804, 674.3284,   0.7112,   0.0000], device='cuda:0')
Box 91: tensor([353.0248, 651.1639, 382.9441, 679.7326,   0.7080,   0.0000], device='cuda:0')
Box 92: tensor([571.0163, 640.7981, 599.0289, 668.2029,   0.7068,   0.0000], device='cuda:0')
Box 93: tensor([0.0000e+00, 8.0668e+02, 9.7039e+01, 8.4268e+02, 7.0595e-01, 0.0000e+00], device='cuda:0')
Box 94: tensor([315.6871, 652.9310, 345.9171, 681.3946,   0.7055,   0.0000], device='cuda:0')
Box 95: tensor([9.4272e+02, 6.2322e+02, 9.7389e+02, 6.5079e+02, 7.0355e-01, 0.0000e+00], device='cuda:0')
Box 96: tensor([7.6209e+02, 6.3211e+02, 7.8973e+02, 6.5876e+02, 7.0219e-01, 0.0000e+00], device='cuda:0')
Box 97: tensor([498.6802, 644.5604, 527.9228, 671.8967,   0.7009,   0.0000], device='cuda:0')
Box 98: tensor([7.9621e+02, 6.3013e+02, 8.2370e+02, 6.5748e+02, 6.9878e-01, 0.0000e+00], device='cuda:0')
Box 99: tensor([279.0161, 654.9857, 308.2546, 683.1690,   0.6962,   0.0000], device='cuda:0')
Box 100: tensor([7.2824e+02, 6.3323e+02, 7.5527e+02, 6.6141e+02, 6.8805e-01, 0.0000e+00], device='cuda:0')
Box 101: tensor([2.3846e+02, 6.5578e+02, 2.7185e+02, 6.8687e+02, 6.8487e-01, 0.0000e+00], device='cuda:0')
Box 102: tensor([8.3062e+02, 6.2937e+02, 8.5629e+02, 6.5520e+02, 6.8117e-01, 0.0000e+00], device='cuda:0')
Box 103: tensor([1.2605e+03, 2.3746e+02, 1.3807e+03, 3.2995e+02, 6.6147e-01, 0.0000e+00], device='cuda:0')
Box 104: tensor([1.0779e+03, 3.4887e+02, 1.2321e+03, 5.9719e+02, 6.4693e-01, 0.0000e+00], device='cuda:0')
Box 105: tensor([  0.0000, 541.5435,  20.9382, 622.7521,   0.6434,   0.0000], device='cuda:0')
Box 106: tensor([274.2771,  79.1818, 315.0434, 103.6257,   0.6206,   0.0000], device='cuda:0')
Box 107: tensor([1.0794e+03, 4.2324e+02, 1.1617e+03, 5.2480e+02, 6.1713e-01, 0.0000e+00], device='cuda:0')
Box 108: tensor([1.2433e+03, 3.2801e+02, 1.4933e+03, 4.0881e+02, 6.1525e-01, 0.0000e+00], device='cuda:0')
Box 109: tensor([112.2075,   0.0000, 146.7881,  78.8819,   0.6117,   0.0000], device='cuda:0')
Box 110: tensor([1.0860e+03, 6.2757e+02, 1.1850e+03, 8.0180e+02, 6.1073e-01, 0.0000e+00], device='cuda:0')
Box 111: tensor([3.9065e+02, 6.5073e+02, 4.1904e+02, 6.7772e+02, 6.0323e-01, 0.0000e+00], device='cuda:0')
Box 112: tensor([1.4975e+03, 5.5132e+02, 1.5840e+03, 5.9737e+02, 5.9724e-01, 0.0000e+00], device='cuda:0')
Box 113: tensor([1.2374e+03, 3.2805e+02, 1.4928e+03, 4.4223e+02, 5.9335e-01, 0.0000e+00], device='cuda:0')
Box 114: tensor([9.7969e+02, 6.1897e+02, 1.0050e+03, 6.5032e+02, 5.9139e-01, 0.0000e+00], device='cuda:0')
Box 115: tensor([6.0743e+02, 6.3875e+02, 6.3554e+02, 6.6649e+02, 5.7595e-01, 0.0000e+00], device='cuda:0')
Box 116: tensor([6.4201e+02, 6.3536e+02, 6.7245e+02, 6.6517e+02, 5.7496e-01, 0.0000e+00], device='cuda:0')
Box 117: tensor([1.4945e+03, 5.2924e+02, 1.5838e+03, 5.9723e+02, 5.5100e-01, 0.0000e+00], device='cuda:0')
Box 118: tensor([1.0732e+03, 0.0000e+00, 1.7060e+03, 3.7880e+02, 5.3239e-01, 0.0000e+00], device='cuda:0')
Box 119: tensor([0.0000e+00, 5.0367e+02, 1.7060e+03, 1.2790e+03, 5.3132e-01, 0.0000e+00], device='cuda:0')
Box 120: tensor([1.4756e+03, 4.7915e+02, 1.7060e+03, 6.1664e+02, 5.1730e-01, 0.0000e+00], device='cuda:0')
Box 121: tensor([1.4733e+03, 6.1771e+02, 1.7060e+03, 6.5939e+02, 5.1336e-01, 0.0000e+00], device='cuda:0')
